bird,year,timestamp,lat,lon,bird_type,displacement_km,displacement_km_log,move_direction,ground_speed,is_moving,u_925,v_925,w_925,t_925,z_925,q_925,u_850,v_850,w_850,t_850,z_850,q_850,u_700,v_700,w_700,t_700,z_700,q_700,ws_925,ws_850,ws_700,wspeed_850,lapse_rate,daylength_h,bird_Art,bird_Bea,bird_Bergen,bird_Caley,bird_Clyde,bird_Hudson,bird_Isabel,bird_Jill,bird_Whit
Bergen,2013,2013-11-04 17:00:00,-0.17917,-66.13767,daylight,31.46087162181748,3.480035413907616,170.64322104051826,12.34666667,1,1.7682037353515625,3.94732666015625,0.15230083465576172,293.2294921875,7531.60546875,0.015452688559889793,-0.361480712890625,1.739227294921875,0.3193244934082031,290.6005859375,14682.1171875,0.012903283350169659,-0.6968231201171875,4.508636474609375,0.1257343292236328,281.165283203125,30711.9140625,0.009267587214708328,-3.6073302558418456,-1.7748571721459052,-4.561940137358209,1.7763951951052945,12.064208984375,12.115833333333333,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-04 18:00:00,-0.331,-65.95533,daylight,26.383804435368475,3.3099517596368146,129.78396367353935,0.0,0,2.268890380859375,3.4569091796875,-0.13213348388671875,293.60693359375,7443.5,0.015539619140326977,0.1870574951171875,1.7420806884765625,0.007203102111816406,290.7978515625,14599.79296875,0.012316718697547913,-0.83135986328125,5.6030731201171875,-0.17128849029541016,281.1611328125,30644.64453125,0.008708969689905643,-0.4685001437682512,-0.9710013999082422,-4.224245473779824,1.7520946411773797,12.44580078125,12.121666666666666,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-04 20:00:00,-0.49783,-65.945,daylight,18.64548799773428,2.9778476935130063,182.67631839243458,8.745555556,1,0.5322265625,3.3875274658203125,-0.02952289581298828,294.16015625,7334.73828125,0.01568371057510376,-1.139739990234375,1.5387115478515625,0.042728424072265625,291.0673828125,14496.40234375,0.012063601985573769,0.86956787109375,5.287200927734375,0.007977485656738281,282.22607421875,30569.3828125,0.007567175664007664,-3.4086841187844747,-1.4838146688507323,-5.322037204999124,1.9148473758582443,11.93408203125,12.127777777777778,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-05 18:00:00,-0.79383,-65.79133,daylight,24.74346720882487,3.248180894294136,154.49080601447292,9.774444444,1,-0.096832275390625,-0.041778564453125,-0.022576332092285156,294.956787109375,7447.98046875,0.01584533601999283,0.9337310791015625,0.5847625732421875,-0.07129383087158203,291.51318359375,14620.54296875,0.011431227438151836,3.0251007080078125,2.4831390380859375,0.11490726470947266,282.23583984375,30690.953125,0.008045652881264687,-0.003995562278367636,-0.1256408685463779,-0.9382956421322484,1.1017263703592617,12.720947265625,12.139722222222222,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-05 19:00:00,-1.08867,-65.54867,daylight,42.45818965810119,3.7717993186017518,140.55055940157814,16.46222222,1,-0.29962158203125,0.5476226806640625,0.07406234741210938,294.73681640625,7364.57421875,0.015562988817691803,0.9764862060546875,1.943145751953125,0.01945018768310547,291.44091796875,14538.02734375,0.011748462915420532,5.384490966796875,2.7121734619140625,0.023675918579101562,282.408447265625,30612.1015625,0.007863924838602543,-0.6132450103743083,-0.8800126482023544,1.326988554089172,2.174704744085632,12.328369140625,12.150833333333333,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-05 20:00:00,-1.17517,-65.23417,daylight,36.26282608384041,3.6179962099579273,105.38429595069289,13.37555556,1,0.202178955078125,0.59197998046875,0.17525863647460938,294.84326171875,7265.48046875,0.01574517786502838,1.4371490478515625,2.81842041015625,0.09256839752197266,291.556396484375,14442.6875,0.010977746918797493,8.000701904296875,2.6788330078125,0.15488719940185547,282.6220703125,30524.18359375,0.00771682895720005,0.03788703903460111,0.63794934781068,7.003349388204423,3.1636831374405965,12.22119140625,12.154166666666667,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-06 14:00:00,-1.49817,-65.03483,daylight,17.23324096862858,2.903246355041067,154.60000094401187,6.173333333,1,-2.55889892578125,-3.163726806640625,0.08603477478027344,293.840576171875,7746.2734375,0.01465673465281725,0.714080810546875,-0.65673828125,-0.014582633972167969,290.67431640625,14905.18359375,0.011868895962834358,5.0411529541015625,2.1279296875,-0.00142669677734375,281.53857421875,30929.1484375,0.007600808050483465,1.7603044897649385,0.89954920937336,0.2400935373546409,0.9701631687765137,12.302001953125,12.167777777777777,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-06 15:00:00,-1.723,-64.885,daylight,30.03905680975686,3.4352463085697393,146.33245159374064,15.43333333,1,-2.2138824462890625,-2.3393096923828125,0.02930164337158203,294.158203125,7750.03125,0.01612100936472416,0.3046417236328125,-0.92071533203125,-0.0079345703125,290.626220703125,14908.84765625,0.01171770691871643,4.9746551513671875,2.3137969970703125,-0.09634971618652344,281.81396484375,30934.98828125,0.0074711088091135025,0.7196162312260543,0.9351673198938586,0.8321153816275546,0.9698058065486027,12.34423828125,12.176388888888889,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-06 16:00:00,-1.91133,-64.74333,daylight,26.20012468410676,3.3032215572659585,143.06399131389537,14.91888889,1,-1.5187225341796875,-2.1003570556640625,-0.1423320770263672,295.734375,7693.109375,0.015187473967671394,-0.1370086669921875,-1.819732666015625,-0.04017162322998047,290.609375,14866.71875,0.012464739382266998,4.927215576171875,1.4529571533203125,-0.05513286590576172,281.25439453125,30875.8125,0.007889816537499428,0.7661955989369804,1.372193723064966,1.7995165641394595,1.824883106008522,14.47998046875,12.18388888888889,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-06 17:00:00,-2.207,-64.62233,daylight,35.5202640353674,3.597867285584734,157.75877207233225,14.91888889,1,-2.0498809814453125,-3.401336669921875,-0.0036134719848632812,295.701416015625,7517.671875,0.014718113467097282,0.40008544921875,-2.9877471923828125,-0.14179420471191406,290.6396484375,14688.12109375,0.012171969749033451,4.9118499755859375,0.9707183837890625,-0.038926124572753906,282.15673828125,30729.00390625,0.007949653081595898,2.372377881459713,2.9168893222672634,0.9606737168622065,3.014415640263955,13.544677734375,12.195277777777777,0,0,1,0,0,0,0,0,0
