bird,timestamp,is_interpolated_gps,is_interpolated_era5,lat,lon,height_raw,ground_speed,heading,is_moving,u_1000,v_1000,w_1000,t_1000,z_1000,q_1000,r_1000,cc_1000,u_925,v_925,w_925,t_925,z_925,q_925,r_925,cc_925,u_850,v_850,w_850,t_850,z_850,q_850,r_850,cc_850,ws_1000,ws_925,ws_850,wspeed_1000,wspeed_925,wspeed_850,wdir_1000,wdir_925,wdir_850,lapse_rate
716,2014-09-05 0:00,1,0,72.71825266,77.88490582,39.96034592,0.011,1.8,0,8.408187866,0.165649414,-0.010322571,275.4333496,228.5310059,0.003528843,79.38853455,0,8.619979858,-0.031005859,-0.107674599,269.8513184,6336.734375,0.002918492,91.03137207,0.1328125,7.893722534,0.3256073,-0.083802223,265.4101563,12842.58984,0.002126919,89.86019897,0.125,0.429675239,0.239769551,0.573394449,8.409819435,8.620035622,7.90043515,88.87136386,90.20609065,87.63795169,4.441162109
716,2014-09-05 1:00,1,0,72.71852301,77.880771,39.74008523,0.011,1.803,0,8.484100342,0.806655884,-0.038472176,275.3737793,238.8984375,0.003509836,78.89613342,0,8.854156494,0.515563965,-0.105958939,269.7402344,6345.886719,0.002949552,94.0969162,0.140625,7.578430176,0.631225586,-0.118746758,265.3022461,12849.12109,0.002151652,91.2600174,0.2734375,1.073192559,0.793887866,0.869353929,8.522361898,8.869154042,7.604672884,84.56872771,86.66751748,85.23868784,4.437988281
716,2014-09-05 2:00,1,0,72.71874997,77.8764718,39.35338461,0.011,1.806,0,8.41368103,1.155654907,0.016350746,275.3630371,220.8671875,0.003431316,77.66909027,0,8.785476685,0.90562439,-0.000429153,269.7436523,6327.183594,0.002926823,92.79437256,0.1875,7.261810303,0.842193604,-0.022958755,265.2402344,12829.00781,0.002097699,88.68288422,0.1953125,1.420241604,1.182052584,1.070634309,8.492677242,8.832030124,7.310484179,82.17911916,84.11462428,83.38463536,4.503417969
716,2014-09-05 3:00,1,0,72.71893352,77.87201126,38.77301111,0.011,1.809,0,8.306060791,1.46774292,-0.008540154,275.4953613,220.7460938,0.003340965,75.19733429,0,8.546401978,1.382263184,-0.014862061,269.7536621,6329.046875,0.002923733,91.64598083,0.1796875,7.015487671,1.327636719,-0.014142036,265.1049805,12829.00391,0.002017586,87.02392578,0.1328125,1.729215158,1.651365056,1.54843828,8.434744522,8.657461422,7.140006059,79.97885877,80.8127516,79.28386268,4.648681641
716,2014-09-05 4:00,1,0,72.71907365,77.86739244,37.97173178,0.011,1.812,0,7.869979858,1.624984741,0.013648987,275.6181641,220.3515625,0.003293925,73.18983459,0,8.258453369,1.614852905,0.003756523,269.8081055,6330.578125,0.002915793,89.76621246,0.0859375,6.72277832,1.720794678,0.028100967,265.0983887,12830.62109,0.001916477,82.88011169,0.1171875,1.873021691,1.87517849,1.932509097,8.035991437,8.414856027,6.939516025,78.33358042,78.93602154,75.64255568,4.709716797
716,2014-09-05 5:00,1,0,72.71917034,77.8626184,36.92231367,0.011,1.815,0,7.444869995,1.928253174,-0.001659393,275.7524414,207.9765625,0.003255494,70.66630554,0,7.789123535,1.995513916,-0.004635811,269.8059082,6320.675781,0.00289119,90.26873779,0.0859375,6.602767944,2.241851807,0.052097321,264.9978027,12819.38672,0.001898359,82.38956451,0.1875,2.163082885,2.241213228,2.44985277,7.690529861,8.040679153,6.972979568,75.47923502,75.63032056,71.24599985,4.808105469
716,2014-09-05 6:00,1,0,72.71922358,77.85769219,35.59752383,0.011,1.818,0,7.089874268,2.256698608,0.011792183,275.8356934,220.7539063,0.003235003,69.33588409,0,7.319885254,2.340026855,-0.000311852,269.8432617,6334.839844,0.002883574,89.70449829,0.1015625,6.612731934,2.675949097,0.055553436,264.9277344,12832.67188,0.00194844,84.43518829,0.3125,2.480487256,2.571070603,2.884389484,7.44036328,7.684819179,7.133647538,72.3437886,72.27191933,67.96848484,4.915527344
716,2014-09-05 7:00,1,0,72.71923335,77.85261686,33.97012929,0.011,1.821,0,6.850494385,2.513320923,0.020292282,275.8569336,230.78125,0.003185507,68.49617004,0,6.979171753,2.570419312,0.040103912,269.8642578,6345.921875,0.002905604,90.07014465,0.078125,6.794799805,2.993148804,0.084337234,264.9221191,12844.46875,0.001976102,84.36660004,0.3046875,2.72974046,2.790899005,3.207556206,7.296989474,7.437465549,7.424839671,69.8528377,69.78131742,66.22622981,4.942138672
716,2014-09-05 8:00,1,0,72.71919965,77.84739547,32.01289711,0.011,1.824,0,6.553390503,2.519851685,0.012753487,275.8459473,225.4570313,0.003232831,69.79393768,0,6.896118164,2.820907593,0.075558662,269.9584961,6340.941406,0.002890938,88.6060257,0.0390625,6.709579468,3.028182983,0.073169708,265.0581055,12840.91016,0.002034751,86.1251297,0.2890625,2.72716559,3.038977783,3.24021073,7.021152298,7.450769449,7.361273587,68.96769201,67.75262513,65.70928092,4.900390625
716,2014-09-05 9:00,1,0,72.71912246,77.84203108,29.69859434,0.011,1.827,0,6.331466675,2.620483398,0.023003578,275.7868652,246.6875,0.003301556,70.92275238,0,6.519607544,2.796096802,0.099330902,269.9047852,6361.417969,0.002911027,91.9023056,0.0703125,6.54838562,2.858001709,0.045086861,265.1938477,12864.28125,0.002066218,87.9493866,0.15625,2.821009582,3.002531974,3.065322908,6.852328327,7.093901596,7.144895241,67.5161914,66.78671585,66.42143993,4.7109375
716,2014-09-05 10:00,0,0,72.493117,77.3369,27,0.011,1.83,0,5.183883667,2.583007813,0.007691383,276.4855957,269.9094238,0.003014866,63.03466034,0,6.028030396,3.183197021,0.03555584,270.3579102,6397.785156,0.002872769,86.85182953,0.0234375,5.596450806,3.323379517,0.082724571,264.8564453,12901.76953,0.002180283,96.60533905,0.25,2.747233053,3.374073213,3.500402108,5.79176823,6.816882992,6.508848825,63.51399913,62.16299554,59.29659243,5.501464844
